Ssiderea046003	factor 19
Ssiderea034340	PFAM Tetratricopeptide repeat
Ssiderea024796	pyruvate kinase activity
Ssiderea018642	intracellular cholesterol transport
Ssiderea009550	Potassium channel
Ssiderea047372	negative regulation of ubiquitin protein ligase activity
Ssiderea016587	G-protein coupled receptor activity
Ssiderea032820	glutamic-type peptidase activity
Ssiderea014096	scavenger receptor activity
Ssiderea052826	XPA binding protein 2
Ssiderea026806	peptidyl-threonine phosphorylation
Ssiderea032548	store-operated calcium channel activity
Ssiderea027892	galactosyltransferase activity
Ssiderea017855	NADP-retinol dehydrogenase activity
Ssiderea037176	ATPase activity, coupled to transmembrane movement of substances
Ssiderea006585	3-hydroxybutyrate dehydrogenase, type 2
Ssiderea026623	Ion transport protein
Ssiderea026253	7 transmembrane receptor (rhodopsin family)
Ssiderea036596	integral membrane protein
Ssiderea022510	Belongs to the peptidase M10A family
Ssiderea59560	zinc-binding in reverse transcriptase
Ssiderea026221	Filamin C, gamma
Ssiderea023459	methylated histone binding
Ssiderea015505	Ligand-gated ion channel
Ssiderea001527	Involved in the maturation of specific proteins in the endoplasmic reticulum
Ssiderea009544	ribonuclease T2 activity
Ssiderea050129	organic anion transmembrane transporter activity
Ssiderea045430	RNA binding motif protein 25
Ssiderea025704	Receptor-type tyrosine-protein phosphatase
Ssiderea005184	protein heterodimerization activity
Ssiderea046002	Coiled-coil domain-containing protein 92
Ssiderea021604	structural constituent of cuticle
Ssiderea041638	protein arginylation
Ssiderea049557	G-protein coupled receptor activity
Ssiderea037686	Dimethylglycine dehydrogenase
Ssiderea052776	gamma-tubulin binding
Ssiderea60413	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea016542	guanylate cyclase activity
Ssiderea004696	RNA pyrophosphohydrolase activity
Ssiderea007418	vacuole inheritance
Ssiderea057386	Islet cell autoantigen
Ssiderea054712	Interferon induced with helicase C domain 1
Ssiderea022223	HEAT repeat-containing protein 4
Ssiderea051434	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
Ssiderea042107	regulation of mitotic cell cycle
Ssiderea041439	DNA binding
Ssiderea002061	regulation of nitric oxide metabolic process
Ssiderea047525	sequestering of TGFbeta in extracellular matrix
Ssiderea021162	6-phosphogluconolactonase
Ssiderea005089	DNA-dependent ATPase and 5'-3' DNA helicase required for the maintenance of both mitochondrial and nuclear genome stability
Ssiderea052015	Common central domain of tyrosinase
Ssiderea002023	SAM domain (Sterile alpha motif)
Ssiderea60680	1-phosphatidylinositol-3-phosphate 5-kinase activity
Ssiderea004457	detection of mechanical stimulus
Ssiderea022511	mannose binding
Ssiderea001975	Belongs to the PDGF VEGF growth factor family
Ssiderea052574	negative regulation of growth rate
Ssiderea000835	ubiquitin protein ligase binding
Ssiderea036035	regulation of sequestering of zinc ion
Ssiderea002082	Heparan sulfate proteoglycan 2
Ssiderea015092	serine-type endopeptidase activity
Ssiderea031668	phosphatidylethanolamine catabolic process
Ssiderea004076	7 transmembrane receptor (rhodopsin family)
Ssiderea006013	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
Ssiderea029599	huntingtin interacting protein K
Ssiderea056640	Histone H1
Ssiderea056219	A-type (transient outward) potassium channel activity
Ssiderea008728	positive regulation of sister chromatid cohesion
Ssiderea003970	regulation of mitotic cell cycle
Ssiderea005124	zinc ion binding
Ssiderea029478	protein-disulfide reductase (glutathione) activity
Ssiderea014536	guanine nucleotide-releasing factor
Ssiderea055081	metalloendopeptidase activity
Ssiderea007930	tetratricopeptide repeat
Ssiderea019527	cyclic nucleotide-gated ion channel activity
Ssiderea008863	peptidyl-prolyl cis-trans isomerase activity
Ssiderea032840	otolith morphogenesis
Ssiderea021424	Fatty acid desaturase
Ssiderea59740	high mobility group
Ssiderea050870	flavoprotein involved in K transport
Ssiderea009406	G-protein coupled receptor activity
Ssiderea051224	Sugar transporter
Ssiderea048265	Sidekick cell adhesion molecule
Ssiderea60781	Zinc finger protein 862-like
Ssiderea038303	Histamine N-methyltransferase
Ssiderea007642	solute:proton symporter activity
Ssiderea039918	Protein tyrosine kinase
Ssiderea013036	Belongs to the glycosyl hydrolase 31 family
Ssiderea019460	regulation of protein catabolic process
Ssiderea028245	amine dehydrogenase activity
Ssiderea022606	Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine
Ssiderea054674	complement activation
Ssiderea016588	T-box transcription factor
Ssiderea001084	Putative cyclase
Ssiderea055786	dense core granule maturation
Ssiderea054557	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu- tRNA(Gln)
Ssiderea019996	von Willebrand factor D and EGF
Ssiderea028064	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
Ssiderea60824	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea040116	chromatin organization
Ssiderea60539	Endonuclease/Exonuclease/phosphatase family
Ssiderea019323	meiotic chromosome condensation
Ssiderea046598	zymogen granule exocytosis
Ssiderea037108	cellular response to methylglyoxal
Ssiderea025925	Belongs to the glycosyl hydrolase 31 family
Ssiderea016082	alpha-(1->3)-fucosyltransferase activity
Ssiderea027086	G-protein coupled receptor activity
Ssiderea001673	nucleosome assembly
Ssiderea034972	condensed mesenchymal cell proliferation
Ssiderea019779	NEUZ
Ssiderea59210	protein kinase activity
Ssiderea026565	carbohydrate binding
Ssiderea013642	Vesicular inhibitory amino acid
Ssiderea057612	carbohydrate binding
Ssiderea015624	strawberry notch homolog 1
Ssiderea031890	Sidekick cell adhesion molecule
Ssiderea049226	negative regulation of axon extension involved in regeneration
Ssiderea011315	Synaptotagmin
Ssiderea002459	Immunoglobulin C-2 Type
Ssiderea053289	Microsomal glutathione S-transferase
Ssiderea009741	Leucine-rich repeats, outliers
Ssiderea014981	Protection of telomeres
Ssiderea001051	Zinc-finger of C2H2 type
Ssiderea039554	negative regulation of renal output by angiotensin
Ssiderea034684	threonine-type endopeptidase activity
Ssiderea042659	Galactosyltransferase
Ssiderea039970	very-long-chain-acyl-CoA dehydrogenase activity
Ssiderea007764	glucose transmembrane transporter activity
Ssiderea023196	tachykinin receptor activity
Ssiderea057471	cell surface pattern recognition receptor signaling pathway
Ssiderea039065	CUB and zona pellucida-like domain-containing protein
Ssiderea025178	calmodulin-lysine N-methyltransferase activity
Ssiderea040419	lipoprotein receptor-related protein
Ssiderea016686	negative regulation of fatty acid biosynthetic process
Ssiderea029577	Solute carrier family 46, member 3
Ssiderea002803	Microtubule binding
Ssiderea026328	Rho guanyl-nucleotide exchange factor activity. It is involved in the biological process described with regulation of Rho protein signal transduction
Ssiderea042065	protein-containing complex binding
Ssiderea005745	cysteine and glycine-rich protein
Ssiderea048175	polycystic kidney disease protein 1-like
Ssiderea052678	Phosphotransferase enzyme family
Ssiderea028523	Common central domain of tyrosinase
Ssiderea043208	chromatin organization
Ssiderea054585	Low-density lipoprotein receptor domain class A
Ssiderea022090	Alstrom syndrome
Ssiderea045996	FAD dependent oxidoreductase
Ssiderea028256	Common central domain of tyrosinase
Ssiderea008416	FAD transmembrane transport
Ssiderea012381	Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
Ssiderea005399	zinc ion binding
Ssiderea054285	ankyrin repeats
Ssiderea001964	Belongs to the SelWTH family. Selenoprotein T subfamily
Ssiderea033753	protein-containing complex binding
Ssiderea019313	EF-hand domain pair
Ssiderea013920	prostaglandin-E synthase activity
Ssiderea001242	BTB POZ domain-containing protein 6 isoform X1
Ssiderea057865	calcium ion binding
Ssiderea041647	G-protein coupled receptor activity
Ssiderea022143	Hematopoietically-expressed homeobox protein HHEX
Ssiderea005972	Zinc ion binding
Ssiderea001179	fibroblast growth factor-activated receptor activity
Ssiderea022781	MBT domain-containing protein 1
Ssiderea040592	Bacterial capsule synthesis protein PGA_cap
Ssiderea028546	thioesterase binding
Ssiderea035175	Belongs to the AAA ATPase family
Ssiderea038530	hydrolase activity
Ssiderea025554	TeTratriCopeptide repeat
Ssiderea029635	N,N-dimethylaniline monooxygenase activity
Ssiderea038816	carbohydrate binding
Ssiderea014294	Arp2/3 complex binding
Ssiderea050126	carbohydrate binding
Ssiderea002741	fibroblast growth factor-activated receptor activity
Ssiderea021811	-
Ssiderea010500	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea041664	vasopressin receptor activity
Ssiderea039209	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea053806	glucosaminylgalactosylglucosylceramide beta-galactosyltransferase activity
Ssiderea017216	nucleic acid-templated transcription
Ssiderea053627	Cupin-like domain
Ssiderea017209	Craniofacial development protein 1
Ssiderea056525	neuromuscular junction development
Ssiderea035673	mitochondrial transport
Ssiderea042238	Si ch211-37e10.1
Ssiderea034714	sequence-specific DNA binding
Ssiderea016432	double-stranded DNA 5'-3' exodeoxyribonuclease activity
Ssiderea007204	granuloma formation
Ssiderea006099	Phospholipase A2 group IVA
Ssiderea030463	peroxidase activity
Ssiderea006311	DN3 thymocyte differentiation
Ssiderea017566	calcium ion binding
Ssiderea000112	FMN transmembrane transporter activity
Ssiderea036824	-
Ssiderea031946	TNF receptor-associated factor 5
Ssiderea007516	Thrombospondin type 1 repeats
Ssiderea028711	regulation of glucose import
Ssiderea043488	Arsenite methyltransferase
Ssiderea000690	acetylcholine-gated cation-selective channel activity
Ssiderea020381	Transcription factor AP4
Ssiderea020911	protein serine/threonine kinase activity
Ssiderea052557	homophilic cell adhesion via plasma membrane adhesion molecules
Ssiderea039438	SH3-binding domain protein 5-like, a
Ssiderea001607	FAM124 family
Ssiderea032865	Proprotein convertase subtilisin kexin type 5
Ssiderea042676	Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family
Ssiderea003147	Tnf receptor-associated factor 2
Ssiderea045168	oxidoreductase activity
Ssiderea002982	L-glutamate import across plasma membrane
Ssiderea012084	carbohydrate derivative binding
Ssiderea020347	7 transmembrane receptor (rhodopsin family)
Ssiderea041781	Helix-turn-helix of DDE superfamily endonuclease
Ssiderea057572	carbohydrate binding
Ssiderea057566	transcription regulatory region sequence-specific DNA binding
Ssiderea052653	Belongs to the purine pyrimidine phosphoribosyltransferase family
Ssiderea026157	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
Ssiderea052173	Multidrug resistance-associated protein
Ssiderea009875	sexual reproduction
Ssiderea006712	ATP binding
Ssiderea044897	alpha-(1->3)-fucosyltransferase activity
Ssiderea015120	bleomycin hydrolase
Ssiderea006111	Xylose isomerase
Ssiderea002914	-
Ssiderea036507	histone H2A-K119 monoubiquitination
Ssiderea026999	interferon-beta production
Ssiderea033030	Domain of unknown function (DUF4558)
Ssiderea038279	nucleic acid binding
Ssiderea003412	protein heterodimerization activity
Ssiderea003529	Ubiquitin carboxyl-terminal hydrolase
Ssiderea046767	ATP-dependent RNA helicase
Ssiderea016715	Plasmolipin
Ssiderea022758	Platelet-derived and vascular endothelial growth factors (PDGF, VEGF) family
Ssiderea031816	G-protein coupled receptor activity
Ssiderea035044	Histone H1
Ssiderea049346	non-membrane spanning protein tyrosine kinase activity
Ssiderea009411	trafficking protein particle complex
Ssiderea027251	Belongs to the peptidase M10A family
Ssiderea051081	Specifically deglycosylates the denatured form of N- linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl- glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high- mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins. Deglycosylation is a prerequisite for subsequent proteasome-mediated degradation of some, but not all, misfolded glycoproteins
Ssiderea054631	medial motor column neuron differentiation
Ssiderea028979	complement component C4b binding
Ssiderea025033	Histamine N-methyltransferase
Ssiderea035109	Glycosyltransferase family 92
Ssiderea034040	scavenger receptor activity
Ssiderea038839	Jumonji and AT-rich interaction domain containing 2
Ssiderea054219	Ribonuclease
Ssiderea030444	negative regulation of GTP cyclohydrolase I activity
Ssiderea050910	Moloney leukemia virus 10, homolog
Ssiderea009557	ATPase activity, coupled to transmembrane movement of substances
Ssiderea057203	alpha-(1->3)-fucosyltransferase activity
Ssiderea049052	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C
Ssiderea023195	tachykinin receptor activity
Ssiderea005160	zinc ion binding
Ssiderea012884	phosphatidylserine binding
Ssiderea002921	-
Ssiderea009034	carbohydrate binding
Ssiderea041818	G-protein coupled receptor activity
Ssiderea005450	CDP-diacylglycerol-inositol 3-phosphatidyltransferase
Ssiderea058286	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea044468	-
Ssiderea021169	DNA/RNA helicase activity
Ssiderea016539	microtubule motor activity
Ssiderea030217	neurexin family protein binding
Ssiderea002390	ATP binding. It is involved in the biological process described with protein phosphorylation
Ssiderea046772	galactose-3-O-sulfotransferase 1
Ssiderea024205	protein processing involved in protein targeting to mitochondrion
Ssiderea020257	Carboxylesterase family
Ssiderea046642	Wnt-activated receptor activity
Ssiderea62756	nuclease HARBI1-like
Ssiderea012842	Lactose-binding lectin l-2-like
Ssiderea045361	regulation of dendrite development
Ssiderea59569	DSBA-like thioredoxin domain
Ssiderea024914	Leucine-rich repeat-containing protein C10orf11 homolog
Ssiderea013943	alpha-tubulin acetylation
Ssiderea040021	Vertebrae development associated
Ssiderea044330	endosome to lysosome transport via multivesicular body sorting pathway
Ssiderea019112	7 transmembrane receptor (rhodopsin family)
