Ssiderea250769	tRNA guanylyltransferase activity
Ssiderea6381	negative regulation of vascular endothelial growth factor receptor signaling pathway
Ssiderea245140	protein serine/threonine kinase activity
Ssiderea248629	spindle assembly
Ssiderea266468	UPF0378 protein KIAA0100 homolog
Ssiderea238485	ATP-dependent RNA helicase
Ssiderea258160	protein autoubiquitination
Ssiderea255700	sideroflexin
Ssiderea227917	negative regulation of centrosome duplication
Ssiderea175308	K02A2.6-like
Ssiderea267709	PC4 and SFRS1 interacting protein 1
Ssiderea258383	post-chaperonin tubulin folding pathway
Ssiderea249519	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
Ssiderea259564	transmembrane receptor protein serine/threonine kinase activity
Ssiderea255303	adenylate cyclase-activating G-protein coupled receptor signaling pathway
Ssiderea246641	glycerophosphodiester phosphodiesterase 1
Ssiderea254904	protein-cysteine S-acyltransferase activity
Ssiderea261389	metallopeptidase activity
Ssiderea269337	regulation of RNA splicing
Ssiderea233330	Dynein light chain 1, axonemal
Ssiderea261062	protein localization to nuclear inner membrane
Ssiderea265664	glycogen phosphorylase activity
Ssiderea257009	intraciliary transport
Ssiderea190863	ribosomal small subunit assembly
Ssiderea247135	coiled-coil
Ssiderea246079	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ssiderea231354	-
Ssiderea267124	Leucine rich repeat containing 71
Ssiderea258283	phosphatidylserine binding
Ssiderea255195	Hippocampus abundant
Ssiderea270894	CHAT domain
Ssiderea266233	Erythroid differentiation regulatory factor 1
Ssiderea244758	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor. It is involved in the biological process described with oxidation-reduction process
Ssiderea271574	Formin Homology 2 Domain
Ssiderea206434	to Saccharomyces cerevisiae SEN1 (YLR430W)
Ssiderea264718	Polycomb group ring finger
Ssiderea202549	PurA ssDNA and RNA-binding protein
Ssiderea268944	scavenger receptor activity
Ssiderea231283	holo-[acyl-carrier-protein] synthase activity
Ssiderea259316	calcium activated phosphatidylcholine scrambling
Ssiderea258939	serum response element binding
Ssiderea183489	protein modification by small protein conjugation
Ssiderea254015	aminopeptidase activity
Ssiderea218243	peptidase M20
Ssiderea212632	small ribosomal subunit rRNA binding
Ssiderea237828	beta-galactosidase activity
Ssiderea252288	regulation of cell shape
Ssiderea198114	polycystic kidney disease protein 1-like
Ssiderea244442	chaperone cofactor-dependent protein refolding
Ssiderea245792	Belongs to the iron ascorbate-dependent oxidoreductase family
Ssiderea254074	factor 1
Ssiderea256092	Sel1-like repeats.
Ssiderea234635	extracellularly glycine-gated chloride channel activity
Ssiderea242203	DNA-damage inducible protein 2
Ssiderea264357	mechanosensitive ion channel activity
Ssiderea238510	ATPase activity, coupled to transmembrane movement of substances
Ssiderea253695	polypeptide N-acetylgalactosaminyltransferase
Ssiderea261360	cysteine-type endopeptidase activity
Ssiderea259461	microtubule motor activity
Ssiderea245289	positive regulation of gluconeogenesis
Ssiderea146877	A disintegrin and metalloproteinase with thrombospondin motifs
Ssiderea193742	transposition, RNA-mediated
Ssiderea258238	RS domain binding
Ssiderea270575	endopeptidase inhibitor activity
Ssiderea262852	RNA polymerase II transcriptional preinitiation complex assembly
Ssiderea244027	AFG1-like ATPase
Ssiderea257959	Belongs to the protein kinase superfamily. RIO-type Ser Thr kinase family
Ssiderea201443	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea220616	sodium channel activity
Ssiderea264379	Protein tyrosine kinase
Ssiderea221983	protein kinase A binding
Ssiderea254365	positive regulation of protein tyrosine phosphatase activity
Ssiderea261110	ubiquitin-like protein ligase activity
Ssiderea442789	serine-type endopeptidase activity
Ssiderea269692	Ion transport protein
Ssiderea240258	regulation of autophagosome assembly
Ssiderea267371	ubiquitin carboxyl-terminal hydrolase 34
Ssiderea257794	intra-Golgi vesicle-mediated transport
Ssiderea271593	ABC transporter, phosphonate, periplasmic substrate-binding protein
Ssiderea251104	pyruvate dehydrogenase (acetyl-transferring) activity
Ssiderea267362	GTPase activator activity
Ssiderea255089	DNA double-strand break processing
Ssiderea267585	Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties
Ssiderea236451	Zgc 77056
Ssiderea235716	peptidyl-diphthamide biosynthetic process from peptidyl-histidine
Ssiderea256794	ALS2, alsin Rho guanine nucleotide exchange factor
Ssiderea264239	serine-type endopeptidase activity
Ssiderea9311	-
Ssiderea238298	guanylate cyclase activity
Ssiderea238040	heme binding
Ssiderea228171	acetylcholinesterase activity
Ssiderea257630	Rab geranylgeranyltransferase activity
Ssiderea230884	transmembrane receptor protein serine/threonine kinase activity
Ssiderea248005	sodium-dependent L-ascorbate transmembrane transporter activity
Ssiderea260090	Pleckstrin homology domain.
Ssiderea234940	inner dynein arm assembly
Ssiderea262024	Dynein, axonemal, heavy chain
Ssiderea220470	-
Ssiderea201702	Thrombospondin-3 isoform
Ssiderea263990	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Ssiderea234075	regulation of mitotic cell cycle
Ssiderea228183	UNC93-like protein
Ssiderea204486	G-protein coupled receptor activity
Ssiderea250452	Required for RNA-mediated gene silencing (RNAi) by the RNA-induced silencing complex (RISC). The 'minimal RISC' appears to include AGO2 bound to a short guide RNA such as a microRNA (miRNA) or short interfering RNA (siRNA). These guide RNAs direct RISC to complementary mRNAs that are targets for RISC-mediated gene silencing. The precise mechanism of gene silencing depends on the degree of complementarity between the miRNA or siRNA and its target. Binding of RISC to a perfectly complementary mRNA generally results in silencing due to endonucleolytic cleavage of the mRNA specifically by AGO2. Binding of RISC to a partially complementary mRNA results in silencing through inhibition of translation, and this is independent of endonuclease activity. May inhibit translation initiation by binding to the 7-methylguanosine cap, thereby preventing the recruitment of the translation initiation factor eIF4-E. May also inhibit translation initiation via interaction with EIF6, which itself binds to the 60S ribosomal subunit and prevents its association with the 40S ribosomal subunit. The inhibition of translational initiation leads to the accumulation of the affected mRNA in cytoplasmic processing bodies (P-bodies), where mRNA degradation may subsequently occur. In some cases RISC-mediated translational repression is also observed for miRNAs that perfectly match the 3' untranslated region (3'-UTR). Can also up-regulate the translation of specific mRNAs under certain growth conditions. Binds to the AU element of the 3'-UTR of the TNF (TNF-alpha) mRNA and up-regulates translation under conditions of serum starvation. Also required for transcriptional gene silencing (TGS), in which short RNAs known as antigene RNAs or agRNAs direct the transcriptional repression of complementary promoter regions
Ssiderea230068	retinol dehydrogenase activity
Ssiderea245144	Rho guanine nucleotide exchange factor
Ssiderea245530	actin filament severing
Ssiderea262465	RAD18 E3 ubiquitin protein ligase
Ssiderea270350	Calcium channel, voltage-dependent, alpha 2 delta subunit 3
Ssiderea271671	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
Ssiderea249163	succinate-CoA ligase (ADP-forming) activity
Ssiderea366242	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor
Ssiderea243844	negative regulation of Ras protein signal transduction
Ssiderea278811	fructose-bisphosphate aldolase
Ssiderea262834	L-iditol 2-dehydrogenase activity
Ssiderea178157	Cyclin-dependent kinase 3
Ssiderea598253	non-membrane spanning protein tyrosine kinase activity
Ssiderea257688	actin filament bundle assembly
Ssiderea220583	Beta-1 adrenergic receptor
Ssiderea504381	G-protein coupled receptor activity
Ssiderea222326	K02A2.6-like
Ssiderea235095	ribosome binding
Ssiderea233598	-
Ssiderea208540	DDE superfamily endonuclease
Ssiderea223092	WD repeat and FYVE
Ssiderea145302	axonemal central apparatus assembly
Ssiderea257081	CRT-like, chloroquine-resistance transporter-like
Ssiderea219536	motile cilium assembly
Ssiderea242754	Synaptic vesicle membrane protein VAT-1 homolog
Ssiderea222662	regulation of modification of synaptic structure
Ssiderea229004	3-carboxymuconate cyclase
Ssiderea252825	spliceosomal complex assembly
Ssiderea257725	protein tyrosine phosphatase activity
Ssiderea221011	Belongs to the histone deacetylase family. HD Type 1 subfamily
Ssiderea253974	microtubule severing
Ssiderea234375	termination of mitochondrial transcription
Ssiderea270489	mitotic cytokinetic process
Ssiderea258384	Ependymin-like
Ssiderea245143	Chromosome 19 open reading frame 44
Ssiderea261939	Asparaginyl-tRNA synthetase
Ssiderea245275	ring finger and SPRY
Ssiderea59909	May act as a scaffolding protein within caveolar membranes. Interacts directly with G-protein alpha subunits and can functionally regulate their activity
Ssiderea261410	DNA topoisomerase type I activity
Ssiderea240865	cellular hypotonic response
Ssiderea239135	Filamin C, gamma
Ssiderea473674	Dermatan-sulfate epimerase
Ssiderea255376	SH3 domain-binding protein 5
Ssiderea256417	zinc finger CCCH-type containing
Ssiderea231735	15-hydroxyprostaglandin dehydrogenase (NADP+) activity
Ssiderea498417	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea268239	extracellularly ATP-gated cation channel activity
Ssiderea236091	Cupin-like domain
Ssiderea245481	Actin-related protein 6
Ssiderea263842	TBC1 domain family member 15-like
Ssiderea265207	Contains two conserved F residues
Ssiderea243857	Rho guanyl-nucleotide exchange factor activity
Ssiderea236692	glycoprotein 6-alpha-L-fucosyltransferase activity
Ssiderea259390	mitochondrial DNA replication
Ssiderea259828	calcium ion transmembrane transport
Ssiderea239732	DNA binding
Ssiderea249147	protein-glycine ligase activity, elongating
Ssiderea244224	positive regulation of myoblast proliferation
Ssiderea256618	carbohydrate binding
Ssiderea263407	heme binding
Ssiderea243222	Lipoxygenase
Ssiderea241087	agmatinase activity
Ssiderea233656	sideroflexin
Ssiderea245568	Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in general and miRNA-mediated mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein (PABP). PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1
Ssiderea262445	DIX domain containing 1a
Ssiderea173284	Fibrinogen-related domains (FReDs)
Ssiderea235401	glucosamine 6-phosphate N-acetyltransferase activity
Ssiderea266947	Histidine biosynthesis trifunctional protein
Ssiderea418317	Chromatin assembly factor 1 subunit
Ssiderea226097	Functions in the early steps of protein synthesis of a small number of specific mRNAs. Acts by directing the binding of methionyl-tRNAi to 40S ribosomal subunits. In contrast to the eIF- 2 complex, it binds methionyl-tRNAi to 40 S subunits in a codon- dependent manner, whereas the eIF-2 complex binds methionyl-tRNAi to 40 S subunits in a GTP-dependent manner. May act by impiging the expression of specific proteins
Ssiderea271603	hyaluronic acid binding
Ssiderea266906	high voltage-gated calcium channel activity
Ssiderea227821	Ribonuclease H protein
Ssiderea231295	tryptophan-tRNA ligase activity
Ssiderea264867	Catalyzes the formation of S-adenosylmethionine from methionine and ATP
Ssiderea226867	dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase activity
Ssiderea268331	4Fe-4S dicluster domain
Ssiderea243211	N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase
Ssiderea253022	endopeptidase inhibitor activity
Ssiderea269310	protein C-terminal leucine carboxyl O-methyltransferase activity
Ssiderea230695	Transmembrane protein 229b
Ssiderea267646	Regulator of chromosome condensation (RCC1) repeat
Ssiderea253844	MAP kinase kinase kinase activity
Ssiderea259250	mitochondrial translational elongation
Ssiderea134990	Spectrin alpha chain, non-erythrocytic
Ssiderea241606	Belongs to the peptidase S1 family
Ssiderea224933	very-long-chain enoyl-CoA reductase activity
Ssiderea248292	negative regulation of heat generation
Ssiderea244506	peptidase M20
Ssiderea241938	[heparan sulfate]-glucosamine N-sulfotransferase activity
Ssiderea191261	mannose metabolic process
Ssiderea255659	guanine nucleotide-binding protein
Ssiderea267722	F5/8 type C domain
Ssiderea263371	Coiled-coil and C2
Ssiderea229410	Collagen triple helix
Ssiderea259057	Belongs to the protein kinase superfamily. AGC Ser Thr protein kinase family. GPRK subfamily
Ssiderea214492	prolyl 4-hydroxylase
Ssiderea250113	diacylglycerol O-acyltransferase
Ssiderea252700	ATP binding. It is involved in the biological process described with protein phosphorylation
Ssiderea233711	vascular endothelial growth factor receptor-2 signaling pathway
Ssiderea176363	NACHT and WD repeat
Ssiderea558739	Cryptochrome circadian clock
Ssiderea247187	positive regulation of NLRP3 inflammasome complex assembly
Ssiderea231211	acyl-CoA oxidase activity
Ssiderea263020	Pumilio-family RNA binding repeat
Ssiderea248859	Interleukin-like EMT inducer
Ssiderea221147	Ubiquinone biosynthesis protein COQ9
Ssiderea254303	protein localization to cytosolic proteasome complex involved in ERAD pathway
Ssiderea353055	Ankyrin repeats (3 copies)
Ssiderea263459	transposition, RNA-mediated
Ssiderea231140	homolog subfamily C member
Ssiderea197244	cell division
Ssiderea252799	Rab GTPase binding
Ssiderea156815	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase
Ssiderea233769	dynein heavy chain binding
Ssiderea271413	Protein tyrosine phosphatase, receptor type
Ssiderea228897	dihydrolipoyllysine-residue acetyltransferase activity
Ssiderea253867	Lysophosphatidylcholine acyltransferase
Ssiderea270931	Ribonuclease H protein
Ssiderea170189	ribosomal small subunit assembly
Ssiderea294780	involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane
Ssiderea259875	Protein kinase domain
Ssiderea261088	chloride channel
Ssiderea267505	Elongation factor
Ssiderea246398	mitochondrial transport
Ssiderea271262	DNA photolyase activity
Ssiderea231971	prefoldin subunit 5
Ssiderea271198	NFX1-type zinc finger-containing protein
Ssiderea266996	microtubule motor activity
Ssiderea241880	glycerate dehydrogenase activity
Ssiderea242523	Chromosome 7 open reading frame 57
