Ssiderea256452	guanine/thymine mispair binding
Ssiderea226030	negative regulation of Arp2/3 complex-mediated actin nucleation
Ssiderea233451	ATPase activity, coupled to transmembrane movement of substances
Ssiderea243224	carbohydrate phosphorylation
Ssiderea258026	lipin, N-terminal conserved region
Ssiderea172435	signaling receptor binding
Ssiderea255003	Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
Ssiderea290003	Carboxylesterase family
Ssiderea247378	Inward rectifier potassium channel
Ssiderea218794	Cytosolic non-specific dipeptidase
Ssiderea258604	extracellular matrix structural constituent
Ssiderea319248	-
Ssiderea246321	metalloendopeptidase activity
Ssiderea246874	Double-stranded RNA binding motif
Ssiderea245215	unfolded protein binding
Ssiderea262912	ATP-dependent RNA helicase
Ssiderea258867	Dicer 1, ribonuclease type III
Ssiderea233005	Zinc finger, C2H2 type
Ssiderea261708	metanephric glomerular basement membrane development
Ssiderea200390	alpha-amylase
Ssiderea8775	-
Ssiderea256899	neurotrophin receptor activity
Ssiderea261621	sorting nexin
Ssiderea262996	factor 1
Ssiderea262369	1-phosphatidylinositol 3-phosphate 5-kinase
Ssiderea251614	DNA replication
Ssiderea68514	Subtilase family
Ssiderea242325	Belongs to the protein kinase superfamily. Tyr protein kinase family. Fes fps subfamily
Ssiderea258696	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
Ssiderea239020	-
Ssiderea252291	DNA-binding transcription repressor activity, RNA polymerase II-specific
Ssiderea258378	mediator complex binding
Ssiderea125103	Loss of heterozygosity, 12, chromosomal region 1
Ssiderea249410	hydrolethalus syndrome
Ssiderea243432	positive regulation of cardioblast proliferation
Ssiderea236491	Protein heterodimerization activity
Ssiderea244031	DegT/DnrJ/EryC1/StrS aminotransferase family
Ssiderea263586	inositol-1,3,4-trisphosphate 6-kinase activity
Ssiderea248067	-
Ssiderea250516	Neuronal PAS
Ssiderea262734	Dedicator of cytokinesis
Ssiderea233441	N-acetyltransferase activity
Ssiderea224517	regulation of mitotic cell cycle
Ssiderea257997	DDE superfamily endonuclease
Ssiderea228876	G-protein coupled receptor activity
Ssiderea257426	PQ loop repeat
Ssiderea232517	Wnt-activated signaling pathway involved in forebrain neuron fate commitment
Ssiderea239803	sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity
Ssiderea243988	U4 U6 small nuclear ribonucleoprotein
Ssiderea257227	BCL (B-Cell lymphoma); contains BH1, BH2 regions
Ssiderea295262	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Ssiderea253822	Heparanase
Ssiderea288752	Peroxiredoxin 6
Ssiderea239650	positive regulation of renal water transport
Ssiderea245803	It is involved in the biological process described with protein transport
Ssiderea263123	Regulator of Ty1 transposition protein 107 BRCT domain
Ssiderea258938	EP4 subtype prostaglandin E2 receptor binding
Ssiderea216267	Akirin 2
Ssiderea249195	RNA methyltransferase
Ssiderea248498	Transmembrane protein 244-like
Ssiderea236473	-
Ssiderea257461	PHD-zinc-finger like domain
Ssiderea339261	Transformation transcription domain-associated protein
Ssiderea245868	guanylate cyclase activity
Ssiderea235416	LicD family
Ssiderea103797	helicase activity
Ssiderea255820	ATP-dependent serine protease that mediates the selective degradation of misfolded, unassembled or oxidatively damaged polypeptides as well as certain short-lived regulatory proteins in the mitochondrial matrix. May also have a chaperone function in the assembly of inner membrane protein complexes. Participates in the regulation of mitochondrial gene expression and in the maintenance of the integrity of the mitochondrial genome. Binds to mitochondrial
Ssiderea223478	DNA 3' dephosphorylation involved in DNA repair
Ssiderea260566	zinc ion binding
Ssiderea256399	spliceosomal complex assembly
Ssiderea220963	adrenal chromaffin cell differentiation
Ssiderea256044	zinc finger
Ssiderea260522	Myosin. Large ATPases.
Ssiderea263603	Protein tyrosine phosphatase, catalytic domain
Ssiderea246744	nucleic acid binding
Ssiderea257110	IQ motif and ubiquitin domain containing
Ssiderea214261	metal ion binding
Ssiderea256231	structural constituent of ribosome
Ssiderea154808	Belongs to the 14-3-3 family
Ssiderea300355	glutathione transferase activity
Ssiderea255122	amine oxidase
Ssiderea222935	rRNA transcription
Ssiderea262035	NEDD8 activating enzyme activity
Ssiderea260340	S-methyl-5-thioadenosine phosphorylase activity
Ssiderea241597	positive regulation of exoribonuclease activity
Ssiderea257411	transcription elongation from RNA polymerase II promoter
Ssiderea257806	Transmembrane protein 33
Ssiderea218582	Ubiquitin-like domain
Ssiderea249615	Histidinol-phosphatase
Ssiderea242314	F-box-like
Ssiderea257531	7 transmembrane receptor (rhodopsin family)
Ssiderea263813	NACHT domain
Ssiderea250089	transportin 3
Ssiderea257119	transmembrane protein 127
Ssiderea254721	quinone binding
Ssiderea258464	ion transport
Ssiderea225906	L-glutamate import across plasma membrane
Ssiderea255480	co-translational protein modification
Ssiderea259767	trafficking protein particle complex
Ssiderea257389	dynein light chain binding
Ssiderea192344	Belongs to the peptidase C1 family
Ssiderea245432	cellular response to stress
Ssiderea256519	Belongs to the ubiquitin-conjugating enzyme family
Ssiderea245362	Enoyl-(Acyl carrier protein) reductase
Ssiderea222246	Coiled-coil domain-containing protein 96
Ssiderea257907	double-stranded RNA-specific ribonuclease activity
Ssiderea255916	beta-mannosidase activity
Ssiderea241485	Essential subunit of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser Thr consensus motif in nascent polypeptide chains
Ssiderea262560	hypoglossal nerve development
Ssiderea259899	Caspase domain
Ssiderea243803	PIN domain of ribonuclease
Ssiderea277450	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
Ssiderea193889	endoplasmic reticulum tubular network organization
Ssiderea259513	3'-5' exonuclease
Ssiderea253238	Scavenger receptor
Ssiderea255155	A disintegrin and metalloproteinase with thrombospondin motifs
Ssiderea247214	DNA translocase activity
Ssiderea262999	nitric oxide catabolic process
Ssiderea250623	cell surface receptor signaling pathway
Ssiderea258345	ubiquitin-dependent ERAD pathway
Ssiderea263729	Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family
Ssiderea254516	chromatin remodeling
Ssiderea246596	4-coumarate--CoA ligase 1-like
Ssiderea259683	integrator complex subunit 2
Ssiderea259754	adipose tissue development
Ssiderea247976	RING finger protein 115
Ssiderea242090	Coiled-coil domain-containing protein 65
Ssiderea263165	positive regulation of insulin secretion
Ssiderea246952	ligase 1
Ssiderea262643	cohesin loading
Ssiderea21830	Produces ATP from ADP in the presence of a proton gradient across the membrane
Ssiderea229800	Sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Ssiderea244898	homophilic cell adhesion via plasma membrane adhesion molecules
Ssiderea248775	tRNA (guanine(10)-N2)-methyltransferase homolog
Ssiderea258095	Uncharacterized ACR, YdiU/UPF0061 family
Ssiderea245829	GABA-A receptor activity
Ssiderea262318	Hepatoma-derived growth factor-related protein
Ssiderea256805	microtubule anchoring
Ssiderea263270	nucleosome assembly
Ssiderea246309	chromatin-mediated maintenance of transcription
Ssiderea259591	Serine incorporator 3
Ssiderea249533	[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity
Ssiderea256282	Belongs to the protein kinase superfamily. AGC Ser Thr protein kinase family. GPRK subfamily
Ssiderea383926	Belongs to the ATP guanido phosphotransferase family
Ssiderea194086	Polymerase (DNA directed) kappa
Ssiderea239691	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane. SRP9 together with SRP14 and the Alu portion of the SRP RNA, constitutes the elongation arrest domain of SRP. The complex of SRP9 and SRP14 is required for SRP RNA binding
Ssiderea251837	diphosphoinositol polyphosphate catabolic process
Ssiderea374129	G-protein coupled receptor activity
Ssiderea240136	NmrA-like family
Ssiderea247447	positive regulation of sister chromatid cohesion
Ssiderea230371	positive regulation of myosin-light-chain-phosphatase activity
Ssiderea243994	Ligand for members of the frizzled family of seven transmembrane receptors
Ssiderea246275	Muskelin 1, intracellular mediator containing kelch motifs
Ssiderea236386	protein side chain deglutamylation
Ssiderea241000	dioxygenase activity
Ssiderea259979	DDB1 and CUL4 associated factor 12
Ssiderea248145	clathrin binding
Ssiderea257938	FAM194 protein
Ssiderea258106	zinc finger, RAN-binding domain containing
Ssiderea431029	negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment
Ssiderea193149	Sorting nexin 29
Ssiderea244132	YqaJ-like viral recombinase domain
Ssiderea143969	lipoprotein receptor-related protein
Ssiderea259558	transporter activity
Ssiderea263232	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea200567	Cupin-like domain
Ssiderea262938	N-succinyltransferase activity
Ssiderea250493	Sigma non-opioid intracellular receptor 1
Ssiderea108320	Belongs to the DEAD box helicase family
Ssiderea260781	Eukaryotic translation initiation factor 2-alpha kinase 1
Ssiderea231668	serine-type endopeptidase activity
Ssiderea254020	FYVE-type zinc finger
Ssiderea255423	Vitamin K epoxide reductase complex, subunit
Ssiderea211395	Guanylylate cyclase
Ssiderea247546	gamma-aminobutyric acid type B receptor subunit
Ssiderea252605	BCCT, betaine/carnitine/choline family transporter
Ssiderea259643	Ubiquitin protein ligase E3 component n-recognin 4
Ssiderea257155	axoneme assembly
Ssiderea221198	FKBP-type peptidyl-prolyl cis-trans isomerase
Ssiderea204559	heat shock protein binding
Ssiderea240484	glutamic-type peptidase activity
Ssiderea258957	doxorubicin transport
Ssiderea259715	poly(A) RNA polymerase
Ssiderea255495	calcium uptake
Ssiderea223468	G-protein coupled receptor activity
Ssiderea250988	Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process
Ssiderea288800	Belongs to the glycosyl hydrolase 30 family
Ssiderea263832	negative regulation of non-canonical Wnt signaling pathway
Ssiderea247994	extracellular matrix constituent secretion
Ssiderea241263	protein modification by small protein conjugation
Ssiderea262831	sucrose alpha-glucosidase activity
Ssiderea68172	lung ciliated cell differentiation
Ssiderea216635	domain-containing protein 1
Ssiderea260211	Higher Eukarytoes and Prokaryotes Nucleotide-binding domain
Ssiderea242460	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea125162	DNA replication complex GINS protein PSF3-like
Ssiderea259533	neurogenic locus notch homolog protein
Ssiderea153891	positive regulation of DNA-dependent DNA replication initiation
Ssiderea258216	steroid hormone receptor activity
Ssiderea258852	Ankyrin repeat and KH domain-containing protein 1
Ssiderea210682	male germ-line sex determination
Ssiderea259837	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
Ssiderea224284	Ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase
Ssiderea259231	Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process
Ssiderea252057	hormonally up-regulated
Ssiderea217735	Checkpoint
Ssiderea246463	type 2A serotonin receptor binding
Ssiderea241213	Ubiquitin homologues
Ssiderea259306	nucleosome assembly
Ssiderea180262	meiotic sister chromatid cohesion, centromeric
Ssiderea226272	Ion transport protein
Ssiderea261577	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
Ssiderea162444	AMP-binding enzyme
Ssiderea214382	dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase activity
Ssiderea254066	retrograde transport, plasma membrane to Golgi
Ssiderea255268	dual serine threonine and tyrosine protein
Ssiderea230455	positive regulation of transcription by RNA polymerase II
Ssiderea337264	Transmembrane phosphatase with tensin homology
Ssiderea260930	Gamma-tubulin complex is necessary for microtubule nucleation at the centrosome
Ssiderea238939	anandamide amidohydrolase activity
Ssiderea242209	TATA element modulatory factor
Ssiderea261308	otolith morphogenesis
Ssiderea226069	Beta-lactamase
Ssiderea259972	ubiquitin-like protein ligase activity
Ssiderea243534	G kinase anchoring protein 1
Ssiderea256066	EVE domain
Ssiderea258012	piRNA biosynthetic process
Ssiderea261630	U2 snRNP-associated SURP
Ssiderea361798	endoplasmic reticulum tubular network membrane organization
Ssiderea243310	calcium ion binding
Ssiderea246006	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
Ssiderea165098	GRAM domain containing 1B
Ssiderea261474	CH-like domain in sperm protein
Ssiderea253897	Tower
Ssiderea246437	Belongs to the peptidase S1 family
Ssiderea163898	Glycosyltransferase sugar-binding region containing DXD motif
Ssiderea7784	serine protease
Ssiderea116184	T cell proliferation involved in immune response
Ssiderea255355	negative regulation of growth rate
Ssiderea210459	endoribonuclease activity, cleaving siRNA-paired mRNA
Ssiderea124546	Homeodomain
Ssiderea179061	small ribosomal subunit rRNA binding
Ssiderea239604	PIH1 domain-containing protein
Ssiderea251248	potassium channel regulator activity
Ssiderea244747	kinase-activated protein kinase
Ssiderea260672	Furin, paired basic amino acid cleaving enzyme
Ssiderea260485	Mitosis protein DIM1
Ssiderea261810	K02A2.6-like
Ssiderea246997	DNA replication-independent nucleosome assembly
Ssiderea224773	EF-hand domain
Ssiderea261345	actin binding
Ssiderea5907	histamine-induced gastric acid secretion
Ssiderea252404	host cell factor
Ssiderea248557	protein-cysteine S-acyltransferase activity
Ssiderea239700	N-acetyl-alpha-D-glucosaminyl L-malate synthase
Ssiderea152973	retrograde vesicle-mediated transport, Golgi to ER
Ssiderea250784	cystinosin, lysosomal cystine transporter
Ssiderea250666	decarboxylase
Ssiderea262547	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
Ssiderea252370	serine transport
Ssiderea224893	Responsible for synthesis of pseudouridine from uracil
Ssiderea254934	lisH domain and HEAT repeat-containing protein KIAA1468 homolog
Ssiderea259563	cGMP-dependent protein kinase activity
Ssiderea222970	outer dynein arm assembly
Ssiderea174422	Polynucleotide kinase 3 phosphatase
